id,restaurent_id,name,price,description,quantity
178,188,Fish Fingers,284,Crispy fried fish strips with tartar sauce,1 kg
179,56,Tandoori Prawns,463,Jumbo prawns marinated and grilled,Half portion
180,186,Gobi Manchurian,184,Cauliflower in spicy Indo-Chinese sauce,1 litre
181,49,Gajar Ka Halwa,142,Grated carrot pudding with milk,500 ml
182,146,Malai Kofta,310,Fried paneer balls in creamy gravy,1 serving
183,192,Pasta Arrabiata,275,Pasta in spicy tomato sauce,1 glass
184,197,Chicken Wings,280,Spicy fried chicken wings,Regular
185,173,Lemon Rice,149,Tangy rice with lemon and peanuts,1 glass
186,43,Chicken Wings,290,Spicy fried chicken wings,1 serving
187,103,Pasta Alfredo,292,Creamy white sauce pasta,1 piece
188,137,Chicken Curry,338,Traditional home-style chicken curry,1 cup
189,81,Lemon Rice,155,Tangy rice with lemon and peanuts,1 piece
190,106,Rasgulla,128,Soft cottage cheese balls in syrup,1 glass
191,156,Steamed Rice,95,Plain basmati steamed rice,Regular
192,55,Pepperoni Pizza,354,Pizza topped with spicy pepperoni,1 litre
193,93,Prawn Masala,458,Prawns in spicy onion tomato masala,1 cup
194,1,Kulfi,106,Traditional Indian ice cream,2 pieces
195,153,Garlic Naan,51,Naan topped with garlic and butter,500 ml
196,78,Palak Paneer,250,Cottage cheese in spinach gravy,1 kg
197,55,Chicken Korma,350,Chicken in mild creamy cashew gravy,1 plate
198,142,Naan,62,Soft leavened bread baked in tandoor,1 litre
199,147,Veggie Supreme Pizza,309,Loaded with assorted vegetables,Half portion
200,118,Onion Bhaji,122,Crispy onion fritters with gram flour,Full portion
